CLUSTER_ID,CLUSTER_SUMMARY,NUM_REVIEWS_MENTIONING,FAKE_REVIEWS,TITLE,UPDATED_TITLE,ADJUSTED_TITLE,SUCINCT_TITLE,Sentiment,Simplified_Title
2411393170017514818,"Poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients",90,"['Serious inside else memory if six field live on traditional. poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients Bank party main picture suddenly drug rule bring determine some.']","Poor communication, long wait times, unprofessional staff,...","Poor communication, long wait times, unprofessional staff, difficulty with appointments and referrals, rude and dismissive doctors, billing issues, lack of attention and care for patients","Poor communication, long wait times, unprofessi...","Poor communication, long wait times,",Negative,Long Wait Times
2411393170017514843,Positive and convenient healthcare experience,11,"['Serious inside else memory if six field live on traditional. positive and convenient healthcare experience Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive and convenient healthcare experience Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive and convenient healthcare experience Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive and convenient healthcare experience Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. positive and convenient healthcare experience Bank party main picture suddenly drug rule bring determine some.']",Positive and convenient healthcare experience,Positive and convenient healthcare experience,Positive and convenient healthcare experience,Positive and convenient healthcare experience,Positive,General Feedback
2411393170017514855,Positive feedback about the staff being friendly and welcoming,10,"['Serious inside else memory if six field live on traditional. positive feedback about the staff being friendly and welcoming Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive feedback about the staff being friendly and welcoming Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive feedback about the staff being friendly and welcoming Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive feedback about the staff being friendly and welcoming Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. positive feedback about the staff being friendly and welcoming Bank party main picture suddenly drug rule bring determine some.']",Positive feedback about the staff being friendly...,Positive feedback about the staff being friendly and welcoming,Positive feedback about the staff being friendl...,Positive feedback about the staff being friendly,Positive,Friendly Staff
2411393170017514861,"The common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly The waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits",8,"['Serious inside else memory if six field live on traditional. the common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly the waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly the waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. the common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly the waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. the common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly the waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. the common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly the waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits Bank party main picture suddenly drug rule bring determine some.']",The common theme of the feedback is...,"The common theme of the feedback is that the doctor and their staff were friendly, went above and beyond, and answered all questions thoroughly The waiting room chairs were comfortable, and overall, the patients left the office feeling satisfied with their visits","that the doctor and their staff were friendly, ...","that the doctor and their staff were friendly,",Neutral,General Feedback
2411393170017514857,"Positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor",7,"[""Serious inside else memory if six field live on traditional. positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor Cause cause believe son would mouth relate own chair better available sure."", ""Line beyond its particularly tree whom local tend employee source. positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor Trouble behavior style report size personal partner stock four room region as true."", ""Draw whose sort language ball floor meet usually. positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor Feeling fact by four two data son."", ""Onto knowledge other his offer face country cost party prevent live bed serious. positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor Type successful together type music hospital relate."", ""Miss dog Democrat quickly stay information every manage political. positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor Bank party main picture suddenly drug rule bring determine some.""]",Positive and appreciative feedback about a doctor's...,"Positive and appreciative feedback about a doctor's skills, expertise, and caring demeanor",Positive and appreciative feedback about a doct...,Positive and appreciative feedback about a,Positive,Appreciative Feedback
2411393170017514853,The common theme of the feedback is the exceptional level of support and care provided by the individuals being described,7,"['Serious inside else memory if six field live on traditional. the common theme of the feedback is the exceptional level of support and care provided by the individuals being described Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. the common theme of the feedback is the exceptional level of support and care provided by the individuals being described Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. the common theme of the feedback is the exceptional level of support and care provided by the individuals being described Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. the common theme of the feedback is the exceptional level of support and care provided by the individuals being described Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. the common theme of the feedback is the exceptional level of support and care provided by the individuals being described Bank party main picture suddenly drug rule bring determine some.']",The common theme of the feedback is...,The common theme of the feedback is the exceptional level of support and care provided by the individuals being described,the exceptional level of support and care provi...,the exceptional level of support and care,Neutral,General Feedback
2411393170017514835,Perceived safety and trust in the caregivers,7,"['Serious inside else memory if six field live on traditional. perceived safety and trust in the caregivers Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. perceived safety and trust in the caregivers Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. perceived safety and trust in the caregivers Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. perceived safety and trust in the caregivers Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. perceived safety and trust in the caregivers Bank party main picture suddenly drug rule bring determine some.']",Perceived safety and trust in the caregivers,Perceived safety and trust in the caregivers,Perceived safety and trust in the caregivers,Perceived safety and trust in the caregivers,Neutral,General Feedback
2411393170017514862,"Positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office",6,"['Serious inside else memory if six field live on traditional. positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office Bank party main picture suddenly drug rule bring determine some.']",Positive satisfaction with the provider and their...,"Positive satisfaction with the provider and their staff, thorough answers to questions, and ease of locating the office",Positive satisfaction with the provider and the...,Positive satisfaction with the provider and their,Positive,General Feedback
2411393170017514812,"Concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner",5,"[""Serious inside else memory if six field live on traditional. concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner Cause cause believe son would mouth relate own chair better available sure."", ""Line beyond its particularly tree whom local tend employee source. concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner Trouble behavior style report size personal partner stock four room region as true."", ""Draw whose sort language ball floor meet usually. concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner Feeling fact by four two data son."", ""Onto knowledge other his offer face country cost party prevent live bed serious. concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner Type successful together type music hospital relate."", ""Miss dog Democrat quickly stay information every manage political. concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner Bank party main picture suddenly drug rule bring determine some.""]",Concerns about the authenticity and similarity of...,"Concerns about the authenticity and similarity of positive reviews, caution against relying solely on extreme reviews, and dissatisfaction with the doctor's medical knowledge and bedside manner",Concerns about the authenticity and similarity ...,Concerns about the authenticity and similarity of,Positive,General Feedback
2411393170017514821,Wait time complaints,5,"['Serious inside else memory if six field live on traditional. wait time complaints Cause cause believe son would mouth relate own chair better available sure.', 'Line beyond its particularly tree whom local tend employee source. wait time complaints Trouble behavior style report size personal partner stock four room region as true.', 'Draw whose sort language ball floor meet usually. wait time complaints Feeling fact by four two data son.', 'Onto knowledge other his offer face country cost party prevent live bed serious. wait time complaints Type successful together type music hospital relate.', 'Miss dog Democrat quickly stay information every manage political. wait time complaints Bank party main picture suddenly drug rule bring determine some.']",Wait time complaints,Wait time complaints,Wait time complaints,Wait time complaints,Negative,Long Wait Times
